City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
81,hermanus,-34.4187,19.2345,16.0,82,90,13.81,ZA,1712488355
82,reggane,26.7158,0.1714,35.48,6,44,0.66,DZ,1712488355
83,thompson,55.7435,-97.8558,-1.75,99,99,1.94,CA,1712488355
84,yandev,7.3667,9.05,36.14,37,63,3.28,NG,1712488356
85,longyearbyen,78.2186,15.6401,-18.09,71,20,2.06,SJ,1712488356
86,whitehorse,60.7161,-135.0538,-7.72,89,14,2.99,CA,1712488356
87,nouadhibou,20.931,-17.0347,22.99,68,0,6.69,MR,1712488356
88,badger,64.8,-147.5333,-0.07,68,0,2.57,US,1712488363
89,nishinoomote,30.7333,131.0,18.84,87,100,10.29,JP,1712488364
90,korla,41.7597,86.1469,18.9,18,66,1.72,CN,1712488364
91,gaspe,48.8334,-64.4819,-4.16,98,93,1.75,CA,1712488279
92,argo,37.6333,22.7333,26.01,34,25,8.31,GR,1712488364
93,kununurra,-15.7667,128.7333,25.99,73,16,0.0,AU,1712488364
94,banda aceh,5.5577,95.3222,29.81,69,100,3.68,ID,1712488364
95,yuzhno-kurilsk,44.0306,145.8556,2.43,88,100,3.8,RU,1712488087
96,quellon,-43.1167,-73.6167,8.12,84,100,0.84,CL,1712488364
97,fort bragg,35.139,-79.006,5.45,78,0,1.54,US,1712488364
98,revda,56.801,59.9303,2.09,82,100,4.47,RU,1712488364
99,jabor,5.921,169.6434,28.1,86,42,9.41,MH,1712488365
100,carnarvon,-24.8667,113.6333,24.53,72,0,9.02,AU,1712488365
101,nehe,48.4833,124.8333,-2.5,45,47,3.97,CN,1712488365
102,oberstdorf,47.4,10.2833,25.8,22,72,1.34,DE,1712488308
103,zaozersk,69.4005,32.4476,-3.62,84,99,1.89,RU,1712488365
104,newman,37.3138,-121.0208,8.13,88,81,0.45,US,1712488365
105,betio village,1.358,172.9211,28.15,85,69,8.81,KI,1712488365
106,vuktyl,63.8567,57.3094,-1.61,93,100,6.26,RU,1712488366
107,nosy varika,-20.5833,48.5333,27.7,69,0,2.96,MG,1712488366
108,oum hadjer,13.2954,19.6966,38.77,11,69,4.94,TD,1712488366
109,novovarshavka,54.1721,74.6946,3.25,47,9,4.43,RU,1712488366
110,salekhard,66.53,66.6019,-4.22,95,100,8.49,RU,1712488366
111,jamestown,42.097,-79.2353,1.8,89,0,2.06,US,1712488196
112,palmer,42.1584,-72.3287,3.23,76,49,2.1,US,1712488320
113,marica,-22.9194,-42.8186,24.97,81,58,2.35,BR,1712488366
114,kapa'a,22.0752,-159.319,22.18,81,100,9.77,US,1712488312
115,hirara,24.8,125.2833,21.92,94,100,1.03,JP,1712488367
